Timestamp,Action,Price,Amount,Solana Balance,PH Balance
7/25/2025, 1:29:14 AM,BUY,6.14881163893375e-7,16263305151,0.010933707,1219495.826848
7/25/2025, 1:47:01 AM,BUY,6.149676452201651e-7,8130509042,0.005914751,1227626.33589
7/25/2025, 2:04:23 AM,BUY,6.107590113372476e-7,23513432849,0.36215716,637326.600794
7/25/2025, 2:04:39 AM,BUY,6.109239980002246e-7,23507082791,0.34777725,660833.683585
7/25/2025, 2:04:42 AM,BUY,6.110890068925791e-7,23500735307,0.33339734,684334.418892
7/25/2025, 2:04:49 AM,BUY,6.112540380821618e-7,23494390393,0.31901743,707828.809285
7/25/2025, 2:04:52 AM,BUY,6.114190915068397e-7,23488048050,0.30463752,731316.857335
7/25/2025, 2:04:55 AM,BUY,6.115841671825052e-7,23481708276,0.29025761,754798.565611
7/25/2025, 2:04:58 AM,BUY,6.117492651251092e-7,23475371069,0.2758777,778273.93668
7/25/2025, 2:05:00 AM,BUY,6.119143853245886e-7,23469036428,0.26149779,801742.973108
7/25/2025, 2:05:04 AM,BUY,6.120795277969702e-7,23462704351,0.24711788,825205.677459
7/25/2025, 2:05:07 AM,BUY,6.122446925061371e-7,23456374838,0.23273797,825205.677459
7/25/2025, 2:05:12 AM,BUY,6.124098794942648e-7,23450047886,0.21835806,872112.100183
7/25/2025, 2:05:14 AM,BUY,6.125750887252563e-7,23443723495,0.20397815,895555.823678
7/25/2025, 2:05:18 AM,BUY,6.126577758692135e-7,23440559421,0.18959824,918993.22534
7/25/2025, 2:05:21 AM,BUY,6.129055739804349e-7,23431082388,0.17521833,942424.307728
7/25/2025, 2:05:24 AM,BUY,6.130708500109009e-7,23424765669,0.16083842,965849.073397
7/25/2025, 2:05:26 AM,BUY,6.132361482705457e-7,23418451506,0.14645851,989267.524903
7/25/2025, 2:05:30 AM,BUY,6.134014688018162e-7,23412139896,0.1320786,1012679.664799
7/25/2025, 2:05:33 AM,BUY,6.135668115948467e-7,23405830838,0.11769869,1036085.495637
7/25/2025, 2:05:36 AM,BUY,6.137321766397748e-7,23399524331,0.10331878,1059485.019968
7/25/2025, 2:05:40 AM,BUY,6.138975639529833e-7,23393220373,0.08893887,1082878.240341
7/25/2025, 2:05:43 AM,BUY,6.140629735246584e-7,23386918963,0.07455896,1106265.159304
7/25/2025, 2:05:46 AM,BUY,6.142284053712599e-7,23380620099,0.06017905,1129645.779403
7/25/2025, 2:05:48 AM,BUY,6.143938594567379e-7,23374323781,0.04579914,1153020.103184
7/25/2025, 2:05:50 AM,BUY,6.145593356708823e-7,23368031639,0.031419229,1176388.134823
7/25/2025, 2:05:54 AM,BUY,6.147248342720616e-7,23361740407,0.017039318,1199749.87523
7/25/2025, 2:05:56 AM,BUY,6.148903551617734e-7,23355451715,0.002659407,1223105.326945
7/25/2025, 2:27:23 AM,SELL,6.151186895117748e-7,23513432849,0.386351767,588039.230623
7/25/2025, 2:47:24 AM,BUY,6.133536067876614e-7,163038089111,0.286333667,751077.319734
7/25/2025, 4:15:37 AM,SELL,6.279640111554666e-7,23507082791,0.30107627,727570.236943
7/25/2025, 4:15:39 AM,SELL,6.27281401282689e-7,163038089111,0.403328031,564532.147832
7/25/2025, 5:30:53 AM,SELL,6.416411998610322e-7,23500735307,0.418388071,541031.412525
7/25/2025, 5:40:49 AM,SELL,6.590359120198007e-7,23494390393,0.433852718,517537.022132
7/25/2025, 5:58:19 AM,SELL,6.63669240066971e-7,23488048050,0.449422013,494048.974082
7/25/2025, 6:42:13 AM,BUY,6.593215584690724e-7,151671060525,0.349403913,645720.034607
7/25/2025, 7:34:07 AM,SELL,6.629124939983339e-7,151671060525,0.449929554,494048.974082
7/25/2025, 8:43:49 AM,BUY,6.605768206929466e-7,151382847335,0.349911454,645431.821417
7/25/2025, 10:11:50 AM,SELL,6.703598246862768e-7,151382847335,0.451373433,494048.974082
7/25/2025, 12:42:06 PM,SELL,6.743153357451241e-7,23481708276,0.467188509,470567.265806
7/25/2025, 1:32:07 PM,SELL,6.849313671225787e-7,23475371069,0.483248527,447091.894737
7/25/2025, 1:52:06 PM,BUY,6.82232611921338e-7,146577572301,0.383230427,593669.467038
7/25/2025, 2:37:11 PM,SELL,7.477265291811957e-7,23443723495,0.400782521,570225.743543
7/25/2025, 2:37:19 PM,SELL,7.492772332669682e-7,23450047886,0.418334108,546775.695657
7/25/2025, 2:37:24 PM,SELL,7.509564082964626e-7,23456374838,0.435929823,523319.320819
7/25/2025, 2:37:27 PM,SELL,7.507318737215076e-7,23462704351,0.453525023,499856.616468
7/25/2025, 2:37:30 PM,SELL,7.505073782656792e-7,23469036428,0.471188276,476387.58004
7/25/2025, 2:37:34 PM,SELL,7.526113938731633e-7,146577572301,0.581485227,329810.007739
7/25/2025, 2:42:07 PM,SELL,7.661088678171055e-7,23431082388,0.599416987,306378.925351
7/25/2025, 2:42:11 PM,SELL,7.658777539206921e-7,23440559421,0.61735059,282938.36593
7/25/2025, 2:47:07 PM,BUY,7.62955346440889e-7,131069269606,0.51733249,414007.635536
7/25/2025, 4:12:07 PM,BUY,7.513606737569697e-7,133091873840,0.417314391,547099.509376
